Name,Cuisine,
Aloo baingan masala,Indian,
Aloo baingan,Indian,
Aloo gobi (also Pakistani and Nepali dish),Indian,
Aloo ki Tikki,Indian,
Aloo Matar,Indian,
Aloo methi,Indian,
Aloo shimla mirch,Indian,
Amriti with Rabdi,Indian,
Amritsari fish,Indian,
Amritsari Kulcha,Indian,
Arbi masala,Indian,
Baati,Indian,
Baingan bharta,Indian,
Bharwaan baigan,Indian,
Dal Fara,Indian,
Bharwaan tinde,Indian,
Bharwein karela,Indian,
Bhatura,Indian,
Bhindi Masala,Indian,
Biryani,Indian,
Butter Chicken,Indian,
Chaat,Indian,
Jaleba,Indian,
Chana masala,Indian,
Chapathi,Indian,
Chicken Razala,Indian,
Chole bhature,Indian,
Daal Baati Churma,Indian,
Daal Puri,Indian,
Dal makhani (Kali Dal),Indian,
Dal,Indian,
Dal fry with tadka,Indian,
Dum Aloo,Indian,
Poha,Indian,
Fara,Indian,
French bean aloo,Indian,
Gajar ka Halwa,Indian,
Gajar matar aloo,Indian,
Gobhi matar,Indian,
Imarti,Indian,
Hari Mutter ka Nimona (Green peas daal),Indian,
Jalebi,Indian,
Kachori,Indian,
Kadai paneer,Indian,
Kadhi Pakoda,Indian,
Karela Bharta,Indian,
Katha meetha petha/halwakadoo,Indian,
Kheer,Indian,
Khichdi,Indian,
Kofta,Indian,
Kulfi falooda,Indian,
Lauki ke kofte,Indian,
Lauki ki subji,Indian,
Litti chokha,Indian,
"Makki di roti, Sarson Da Saag",Indian,
Mathura ke pede,Indian,
"Methi Saag, Chaulai Saab",Indian,
Misi roti,Indian,
Mixed vegetable,Indian,
Moong dal ka halwa,Indian,
Murgh Musallam,Indian,
Mushroom do pyaza,Indian,
Mushroom matar,Indian,
Naan,Indian,
Navrattan korma,Indian,
Palak Daal,Indian,
Palak Paneer,Indian,
Paneer butter masala,Indian,
Paneer Tikka Masala,Indian,
Pani Puri,Indian,
Ragi Mudhe,Indian,
Panjeeri,Indian,
Paratha,Indian,
Pattor,Indian,
Phirni,Indian,
Pindi chana,Indian,
Pinni,Indian,
Rajma Chaval,Indian,
Rajma,Indian,
Ramatori subji,Indian,
Rice,Indian,
Rongi,Indian,
Samosa,Indian,
Samose,Indian,
Sattu ki Roti,Indian,
Shahi paneer,Indian,
Shahi tukra,Indian,
Singhada Halwa,Indian,
Sooji Halwa,Indian,
Sweet Pethas/ kesar petha/ pista petha,Indian,
Vegetable Jalfrezi,Indian,
Appam,Indian,
Avial,Indian,
Bajji,Indian,
Biryani,Indian,
Bisi Bele Bath,Indian,
Bonda,Indian,
Chicken 65,Indian,
Currivepillai sadam,Indian,
Dosa,Indian,
Double ka meetha,Indian,
Goli bajje,Indian,
Idiappam,Indian,
Idli,Indian,
Indian omelette,Indian,
Kaara Kozhambu,Indian,
Keerai kootu,Indian,
Keerai masiyal,Indian,
Keerai sadam,Indian,
Koottu,Indian,
Kos kootu,Indian,
Kothamali sadam,Indian,
Kuzhakkattai,Indian,
Kuzhambu,Indian,
Masala Dosa,Indian,
Parotta,Indian,
Paruppu sadam,Indian,
Payasam,Indian,
Pongal,Indian,
Poriyal,Indian,
Puli sadam,Indian,
Puttu,Indian,
Kanji,Indian,
Sakkara pongal,Indian,
Sajjige,Indian,
Sambar,Indian,
Sevai,Indian,
Sevai lunch,Indian,
"Thayir sadam, Mosaranna",Indian,
Thengai sadam,Indian,
Uttapam,Indian,
Vada,Indian,
Varuval,Indian,
"Yelumincham sadam, Chitranna",Indian,
Keerai poriyal,Indian,
Wheat Upma,Indian,
Koshambri,Indian,
"Obbattu (holige, bobbattu, Pooran-poli)",Indian,
Ennai Kathirikkai,Indian,
Pesarattu,Indian,
Nandu (Crab in Tamil) Omelette,Indian,
Amti,Indian,
Bajri no rotlo,Indian,
Barfi,Indian,
Basundi,Indian,
Bhakri,Indian,
Bombil fry,Indian,
Chaat,Indian,
Chakri,Indian,
Chevdo,Indian,
Cholafali,Indian,
Chorafali,Indian,
Copra paak,Indian,
Daal Dhokli,Indian,
Dahi vada,Indian,
Dhokla,Indian,
Doodhpak,Indian,
Dudhi no Halwo - Bottle Gourd Halwa,Indian,
Dum aaloo,Indian,
Pohe,Indian,
Gajar Halwo - Carrot Halwa,Indian,
Gatta curry,Indian,
Ghari (sweet from Surat),Indian,
Ghooghra,Indian,
Gud papdi (Gol papdi),Indian,
Gulab Jamun,Indian,
Halvasan,Indian,
Handwo (steamed dish),Indian,
Gur,Indian,
Jalebi,Indian,
Jeera Aloo,Indian,
Juvar no rotlo,Indian,
Kansar,Indian,
Keri no ras,Indian,
Khakhra,Indian,
Khandvi,Indian,
Kombdi vade,Indian,
Koshimbir,Indian,
Laapsi,Indian,
Laddu,Indian,
Locha,Indian,
Malpua,Indian,
Methi na Gota,Indian,
Modak,Indian,
Mohanthal,Indian,
Muthiya,Indian,
Panipuri,Indian,
Patra,Indian,
Pav Bhaji,Indian,
Penda,Indian,
Pooran-poli,Indian,
Puri,Indian,
Puri Bhaji,Indian,
Rasya Muthia,Indian,
Sabudana Khichadi,Indian,
Sev Khamani,Indian,
Sev Tameta,Indian,
Shakarpara,Indian,
Namakpara,Indian,
Shankarpali,Indian,
Shiro,Indian,
Shrikhand,Indian,
Sohan papdi,Indian,
Soonvali,Indian,
Sukhdi,Indian,
Sutarfeni,Indian,
Thalipeeth,Indian,
Undhiyu,Indian,
Upmaa,Indian,
Vada pav,Indian,
Veg Kolhapuri,Indian,
Vindaloo,Indian,
Ghebar or Ghevar,Indian,
Lilva Kachori,Indian,
Magaj,Indian,
Cheera Doi,Indian,
Dhup Pitha,Indian,
Gheela Pitha,Indian,
Hurum,Indian,
Khar,Indian,
Kumol Sawul,Indian,
Loskora (Coconut Laddu),Indian,
Luchi,Indian,
Malpua/Malpoa,Indian,
Momo,Indian,
Muri Naaru,Indian,
Pani Tenga,Indian,
Sunga Pitha,Indian,
Alu Pitika,Indian,
Masor tenga,Indian,
Bengena Pitika,Indian,
Bilahi Maas,Indian,
Black rice,Indian,
Bora Sawul,Indian,
Brown Rice,Indian,
Chhenagaja,Indian,
Chhenapoda,Indian,
Chingri malai curry,Indian,
Dal,Indian,
Goja,Indian,
Hando Guri,Indian,
Haq Maas,Indian,
Horioh Maas,Indian,
Ilish or Chingri Bhape,Indian,
Kharoli,Indian,
Khorisa,Indian,
[Koldil Chicken,Indian,
Koldil Duck,Indian,
Konir Dom,Indian,
Lai Haq Maas,Indian,
Litti,Indian,
Maasor Tenga,Indian,
Machher Jhol,Indian,
Masor Koni,Indian,
Masor Petu,Indian,
Mishti Chholar Dal,Indian,
Mishti Doi,Indian,
Ou tenga Maas,Indian,
Pakhala,Indian,
Bhaji,Indian,
Pani Pitha,Indian,
Pantua,Indian,
Payokh,Indian,
Peda,Indian,
Prawn malai curry,Indian,
Red Rice,Indian,
Rice,Indian,
Rosgulla,Indian,
Sabzi (curry),Indian,
Shondesh,Indian,
Shukto,Indian,
Sunga Pork,Indian,
Tenga Doi,Indian,
Til Pitha,Indian,
Waffle,American,
American Chinese cuisine,American,
Biscuit,American,
Biscuits and gravy,American,
Bread,American,
Cuisine of Antebellum America,American,
Cuisine of the Thirteen Colonies,American,
Ammonia cookie,American,
Apple butter,American,
Apple sauce,American,
Bacon,American,
Baked potato,American,
Barbecue,American,
Bear claw (pastry),American,
Beef Manhattan,American,
Blue cheese dressing,American,
Blue-plate special,American,
Bookbinder Soup,American,
Brunswick stew,American,
Buffalo burger,American,
Buffalo wing,American,
Bull roast,American,
Burnt ends,American,
Burrito,American,
Butter cookie,American,
Cajun cuisine,American,
Calf's liver and bacon,American,
Carne pizzaiola,American,
Carolina style,American,
Celery Victor,American,
Cheese dog,American,
Cheese fries,American,
Chicken à la King,American,
Chicken and waffles,American,
Chicken Divan,American,
Chicken fingers,American,
Chicken French,American,
Chicken fried bacon,American,
Chicken fried steak,American,
Chicken nugget,American,
Chicken sandwich,American,
Chili con carne,American,
Chili dog,American,
Chips and dip,American,
Choco Pie,American,
Chowder,American,
Chimichanga,American,
City chicken,American,
Clam cake,American,
Clam chowder,American,
Coleslaw,American,
Cordon bleu (dish),American,
Corn chowder,American,
Corn dog,American,
Corn flakes,American,
Corn relish,American,
Corned beef,American,
Cornish game hen,American,
Cowboy beans,American,
Crab cake,American,
Creamed corn,American,
Creamed eggs on toast,American,
Deviled crab,American,
Deviled egg,American,
Domesticated turkey,American,
Doughnut,American,
Drunken chicken,American,
Eggo,American,
Eggs Benedict,American,
Eggs Neptune,American,
Energy bar,American,
Engastration,American,
Turducken,American,
Fajita,American,
Fish and chips,American,
Fortune cookie,American,
Fried chicken,American,
Fried fish,American,
Fry sauce,American,
Frybread,American,
Garden salad,American,
Goulash,American,
Greek-American cuisine,American,
Green bean casserole,American,
Grits,American,
Hamburger,American,
Hangtown fry,American,
Haystack (food),American,
Hog fry,American,
Home fries,American,
Hot chicken,American,
Hot Chicken sandwich,American,
Ice cream cake,American,
International Bar-B-Q Festival,American,
Italian-American cuisine,American,
Italian dressing,American,
Jell-O,American,
Jerky,American,
Juba (food),American,
Liver and onions,American,
Lobster roll,American,
Lobster Newberg,American,
London broil,American,
Lorna Doone (cookie),American,
Macaroni and cheese,American,
Macaroni salad,American,
Maple bacon donut,American,
Maraca pie,American,
Mashed potato,American,
Mashed pumpkin,American,
Meatcake,American,
Meatloaf,American,
Milk toast,American,
Milkshake,American,
Mission burrito,American,
Mozzarella sticks,American,
Muffuletta,American,
Mulligan stew (food),American,
Onion ring,American,
Oreo,American,
Oysters Rockefeller,American,
Pancakes,American,
Pasta salad,American,
Pastrami,American,
Patty,American,
Peanut butter,American,
Pepperoni,American,
Philadelphia cheesesteak,American,
Pickled cucumber,American,
Pigs in blankets,American,
Pizza,American,
Pizza strips,American,
Ploye,American,
Pop-Tarts,American,
Popover,American,
Poppyseed muffin,American,
Pork and beans,American,
Potato salad,American,
Potato skins,American,
Potato wedges,American,
Potatoes O'Brien,American,
Protein bar,American,
Pulled pork,American,
Pumpkin pie,American,
Rabbit pie,American,
Ranch dressing,American,
Reuben sandwich,American,
Ribs (food),American,
Rolled oyster,American,
Russian dressing,American,
Russian tea cake,American,
Salisbury steak,American,
Sandwich,American,
Sausage gravy,American,
Scampi,American,
Scrapple,American,
Seafood cocktail,American,
Senate bean soup,American,
Slinger,American,
Sloppy joe,American,
Smelt (fish),American,
Sonofabitch stew,American,
Soul food,American,
Sour cream,American,
Spanish rice,American,
Squab (food),American,
Steak,American,
Steak sandwich,American,
Steak sauce,American,
Steamed clams,American,
Stuffed ham,American,
Stuffed peppers,American,
Stuffed zucchini,American,
Surf and turf,American,
Swiss steak,American,
Tetrazzini,American,
Thousand Island dressing,American,
Toaster Strudel,American,
Tomato compote,American,
Tuna casserole,American,
Turducken,American,
Vichyssoise,American,
Bresaola,Italian,
Bruschetta,Italian,
Capicollo,Italian,
Crostini,Italian,
Culatello,Italian,
braised,Italian,
Insalata caprese,Italian,
mozzarellas,Italian,
cartilage,Italian,
Olives,Italian,
imbottiti,Italian,
Pizzette,Italian,
Prosciutto,Italian,
Salami,Italian,
Strolghino,Italian,
Tortano,Italian,
pinzimonio,Italian,
Vezione verro,Italian,
Acquacotta,Italian,
Agghiotta di lumache (Sicilian snail soup),Italian,
Agliata,Italian,
Agrodolce,Italian,
Bagna càuda,Italian,
fondue,Italian,
Garmugia,Italian,
Ginestrata,Italian,
Grine sauce,Italian,
Maccu,Italian,
Sugo al Pomodoro,Italian,
Minestra di ceci,Italian,
Minestra di pasta con pesce,Italian,
Minestrone,Italian,
Pasta e fagioli,Italian,
Ragù alla bolognese,Italian,
Ragù alla salsiccia,Italian,
Risi e bisi,Italian,
Sciusceddu,Italian,
Stracciatella,Italian,
Bari,Italian,
Biga,Italian,
Bozza pratese,Italian,
Buccellato,Italian,
Casatiello,Italian,
Ciabatta,Italian,
Ciaccino,Italian,
Ciriola,Italian,
Colomba Pasquale,Italian,
Coppia Ferrarese,Italian,
Crescentina,Italian,
Crocchè,Italian,
Farinata,Italian,
Ficattola,Italian,
Focaccia,Italian,
Fragguno,Italian,
Grissini torinesi,Italian,
Michetta,Italian,
Moddizzosu,Italian,
Muffuletta,Italian,
Neccio,Italian,
Pandoro,Italian,
Pane carasau,Italian,
Pane casareccio,Italian,
Pane di Altamura,Italian,
Pane di Genzano,Italian,
Pane pugliese,Italian,
Pane rustico,Italian,
Pane toscano,Italian,
Panelle di ceci,Italian,
Panettone,Italian,
Panino,Italian,
Penia,Italian,
Piadina,Italian,
Pita,Italian,
Rosetta,Italian,
Schiacciata,Italian,
Taralli,Italian,
Testarolo,Italian,
Tigella,Italian,
Tortano,Italian,
Ai frutti di Mare,Italian,
Calzone,Italian,
Focaccia al rosmarino,Italian,
Pizza ai funghi e salsiccia,Italian,
Pizza ai quattro formaggi,Italian,
Pizza alla napoletana,Italian,
Pizza capricciosa,Italian,
Pizza Margherita,Italian,
marinara,Italian,
Pizza pugliese,Italian,
Pizza quattro stagioni,Italian,
Pizza siciliana,Italian,
Agnolotti,Italian,
Bavette,Italian,
Cannelloni,Italian,
Conchiglie,Italian,
Ditalini,Italian,
Farfalle,Italian,
Garganelli,Italian,
Gnocchi,Italian,
Lasagna,Italian,
Maccheroni,Italian,
orecchiette,Italian,
Orzo,Italian,
pappardelle,Italian,
Ravioli,Italian,
Spaghetti,Italian,
tagliatelle,Italian,
Vermicelli,Italian,
Ziti,Italian,
Amatriciana,Italian,
Cannelloni al ragù,Italian,
Carbonara,Italian,
Ciceri e Tria,Italian,
Fettucine Alfredo,Italian,
Lasagne,Italian,
clam sauce,Italian,
Pasta al pesto,Italian,
Penne all'arrabbiata,Italian,
Ravioli,Italian,
Rigatoni con la Pajata,Italian,
Spaghetti alla Carrettiera,Italian,
Tagliatelle alla boscaiola,Italian,
Ziti,Italian,
Arancini,Italian,
rice and peas,Italian,
Riso al nero di seppia,Italian,
Riso alla toscana,Italian,
Riso con i porcini,Italian,
Riso tonnato,Italian,
Riso valdostano,Italian,
Risotto,Italian,
Risotto ai gamberoni,Italian,
Risotto ai quattro sapori,Italian,
Risotto al Barolo,Italian,
Risotto al cavolfiore,Italian,
Risotto al gorgonzola,Italian,
Risotto alla marinara,Italian,
Risotto alla milanese,Italian,
Risotto alla sbirraglia,Italian,
Risotto alla zucca,Italian,
Risotto allo zafferano con petto d'anatra,Italian,
Risotto con agoni,Italian,
Risotto con la lüganega,Italian,
Risotto con scamorza e champagne,Italian,
Risotto di seppie alla veneziana,Italian,
Risotto indivia e fiori di zucca,Italian,
Risotto saltato,Italian,
Sformato al basilico,Italian,
Sformato di riso dolce,Italian,
Tiella di riso,Italian,
Acciughe fritte in pastella,Italian,
Acciughe in carpione,Italian,
Acqua pazza,Italian,
Acquadella o latterino fritto,Italian,
Agghiotta di pesce spada,Italian,
,Italian, 
Anguilla marinata,Italian,
Baccalà,Italian,
Baccalà alla vicentina,Italian,
Baccalà fritto,Italian,
Branzino al sale,Italian,
Brodetto di arselle,Italian,
Buridda,Italian,
Cacciucco,Italian,
Calamaretti fritti,Italian,
Calamari in zimino,Italian,
Calamari ripieni,Italian,
Capesante alla veneziana,Italian,
Cappon magro,Italian,
Carpaccio di pesce,Italian,
Cartoccio di pesce spada,Italian,
Cozze alla tarantina,Italian,
Cozze fritte alla viareggina,Italian,
Cozze ripiene,Italian,
Filetti di baccalà,Italian,
Filetti di orata al cartoccio,Italian,
Fritata di bianchetti,Italian,
Fritto misto di pesce,Italian,
Frittura mista di pesce,Italian,
Grancevola alla veneziana,Italian,
Impanata di pesce spada,Italian,
Involtini di pesce,Italian,
Missultin e polenta,Italian,
Moscardini lessati alla genovese,Italian,
Murena fritta,Italian,
Nasello al forno,Italian,
Orata arrosto,Italian,
Orate al forno,Italian,
Pepata di cozze,Italian,
Pesce a scabecciu,Italian,
Pesce al cartoccio,Italian,
Pesce alla pizzaiola,Italian,
Pesce spada alla siciliana,Italian,
Pesce spada arrosto in salmoriglio,Italian,
Polpettine di mare,Italian,
Sarde a beccafico,Italian,
Sarde arraganate (sarde con origano e pane),Italian,
Sarde grigliate,Italian,
Sarde ripiene,Italian,
Sarde sfiziose panate,Italian,
Sardele in saor,Italian,
Sbroscia bolsenese,Italian,
Scampi a zuppetta,Italian,
Scampi gratinati,Italian,
Seppie col nero alla veneziana,Italian,
Seppie con i piselli,Italian,
Seppie ripiene,Italian,
Seppioline in umido,Italian,
Sogliole alla mugnaia,Italian,
Spiedini ai frutti di mare,Italian,
Spiedini di alici,Italian,
Spiedini di anguilla,Italian,
Stoccafisso alla genovese,Italian,
Stoccafisso alla ligure,Italian,
Tonno sott'olio,Italian,
Tortiera di cozze,Italian,
Totano imbottito,Italian,
Triglie alla livornese,Italian,
Zuppa di pesce,Italian,
Abbacchio alla Cacciatora,Italian,
Braciole,Italian,
Bresaola,Italian,
Cacciatore,Italian,
Capicollo,Italian,
Carne al piatto,Italian,
Carne Pizzaiola,Italian,
Ciabusco,Italian,
Coda alla vaccinara,Italian,
Cotechino Modena,Italian,
Cotoletta alla milanese,Italian,
Culatello,Italian,
Guanciale,Italian,
Mortadella,Italian,
Osso buco,Italian,
Pancetta,Italian,
Pezzetti di cavallo,Italian,
Prosciutto cotto,Italian,
Prosciutto crudo,Italian,
Prosciutto di Parma,Italian,
Salame,Italian,
Salsiccia,Italian,
Saltimbocca alla Romana,Italian,
Soppressata,Italian,
Speck Alto Adige PGI,Italian,
Stigghiola,Italian,
Trippa alla Romana,Italian,
Violino Valtell,Italian,
veal,Italian,
Caponata,Italian,
Carciofi alla romana,Italian,
Panzanella,Italian,
Peperonata,Italian,
Pinzimonio,Italian,
Abruzzi,Italian,
Calabria,Italian,
Emilia-Romagna,Italian,
Campania,Italian,
Friuli-Venezia Giulia,Italian,
Liguria,Italian,
Lombardy,Italian,
Marche,Italian,
Piedmont,Italian,
Apulia,Italian,
Sardinia,Italian,
Sicily,Italian,
Tuscany,Italian,
Umbria,Italian,
Veneto,Italian,
Asiago,Italian,
Bel Paese,Italian,
Bitto,Italian,
Bra,Italian,
Burrata,Italian,
Burrini,Italian,
Butirro,Italian,
Caciocavallo,Italian,
Cacioricotta,Italian,
Canestrato,Italian,
Caprino,Italian,
Casècc,Italian,
Casiello,Italian,
Castelmagno,Italian,
Casu modde,Italian,
Ciccillo,Italian,
Crescenza,Italian,
Fiore Sardo,Italian,
Fontina,Italian,
Formai de Mut dell'Alta Valle Brembana,Italian,
Giuncata,Italian,
Gorgonzola,Italian,
Grana Padano,Italian,
Marzolino,Italian,
Marzotica,Italian,
Mascarpone,Italian,
Montasio,Italian,
Monte Veronese,Italian,
Mozzarella,Italian,
Murazzano,Italian,
Parmigiano Reggiano,Italian,
Pecorino,Italian,
Pecorino sardo,Italian,
Piacentinu,Italian,
Provolone,Italian,
Ragusano,Italian,
Raschera,Italian,
Ricotta,Italian,
Ricotta salata,Italian,
Robiola,Italian,
Scamorza,Italian,
Slattato,Italian,
Stracchino,Italian,
Taleggio,Italian,
Toma,Italian,
Tumazzu,Italian,
Aceto dolce,Italian,
Anisette,Italian,
Babà,Italian,
Biscotti,Italian,
Biscuit Tortoni,Italian,
Cannolo siciliano,Italian,
Cassata siciliana,Italian,
Chiacchiere,Italian,
Ciarduna,Italian,
Crocetta of Caltanissetta,Italian,
Crostata,Italian,
Gelato,Italian,
Gianduiotto,Italian,
Granita,Italian,
Macedonia,Italian,
Nocciolini di Canzo,Italian,
Pandoro,Italian,
Panettone,Italian,
Panforte,Italian,
Panna cotta,Italian,
Pastiera,Italian,
Pignolata,Italian,
Pizzelle,Italian,
Profiterole,Italian,
Semifreddo,Italian,
Sfogliatelle,Italian,
Tiramisù,Italian,
Torta Bertolina,Italian,
Torta caprese,Italian,
Struffoli,Italian,
Zabaglione,Italian,
Zuppa Inglese,Italian,
Bicerin,Italian,
Caffè corretto,Italian,
Caffè macchiato,Italian,
Caffelatte,Italian,
Cappuccino,Italian,
Espresso,Italian,
Granita,Italian,
Grolla dell'amicizia,Italian,
Marocchino,Italian,
Ristretto,Italian,
Bistecca alla fiorentina,Italian,
Baccalà alla Vicentina,Italian,
Lasagne,Italian,
Pasta e fagioli,Italian,
Pizza,Italian,
Ragù alla bolognese,Italian,
Salsiccia,Italian,
Ossobuco,Italian,
Pollo alla cacciatora,Italian,
Tortellini,Italian,
Tiramisù,Italian,
Torrone,Italian,
Spaghetti all' aglio,Italian,
Extra virgin olive oil,Italian,
Tomato,Italian,
anchovies,Italian,
Balsamic Vinegar,Italian,
asparagus,Italian,
Baccalà,Italian,
Bresaola,Italian,
Broccoli,Italian,
capers,Italian,
artichokes,Italian,
Cauliflower,Italian,
Chickpeas,Italian,
Cucumber,Italian,
Beans,Italian,
Emmer,Italian,
strawberries,Italian,
Porcini mushrooms,Italian,
Lentils,Italian,
Lemon,Italian,
eggplants,Italian,
olives,Italian,
Pasta,Italian,
Swordfish,Italian,
Bell peppers,Italian,
Pesto,Italian,
pine nuts,Italian,
Peas,Italian,
Prosciutto,Italian,
Radicchio,Italian,
Rice,Italian,
Arugula,Italian,
Cuttlefish,Italian,
Spinach,Italian,
Tartufo,Italian,
Tripe,Italian,
Tuna,Italian,
Zucchini,Italian,
Garlic,Italian,
Bay leaves,Italian,
Basil,Italian,
Onion,Italian,
Fennel,Italian,
Mint,Italian,
Oregano,Italian,
Chili pepper,Italian,
Parsley,Italian,
Rosemary,Italian,
Sage,Italian,
Thyme,Italian,
Nihari,Indian,
Paya,Indian,
Kachri Qeema,Indian,
Haleem,Indian,
Khichda,Indian,
Mughlai Chicken,Indian,
[1],Indian,
Biryani,Indian,
Mughlai Paratha,Indian,
Qeema Matar,Indian,
Meat Durbari,Indian,
Mughlai Chicken Pulao,Indian,
Murg Kababs Mughlai,Indian,
Murg Noorjehani,Indian,
Murg Kali Mirch,Indian,
Murgh Musallam,Indian,
Kofta Shorba,Indian,
Nargisi Kofta,Indian,
Murg Tandoor,Indian,
Murg Chaap,Indian,
Murg Masala,Indian,
Malai,Indian,
Kofta,Indian,
Navratan Korma,Indian,
Reshmi Kabab,Indian,
Boti Kabab,Indian,
Shahjehani Murg Masala,Indian,
Shahi Chicken Korma,Indian,
Shahi Kaju Aloo,Indian,
Shahi Rogan Josh,Indian,
Pasanda,Indian,
Rezala,Indian,
Shahi Tukra,Indian,
Barfi,Indian,
Kalakand,Indian,
Kulfi,Indian,
Sheer korma,Indian,
Falooda,Indian,
Anjeer Halwa,Indian,
Figs,Indian,
Kesari Firni,Indian,
Kheer,Indian,
Mughlai Recipes,Indian,
Mughal Emperors' Food,Indian,
